id,price,sqft,bedrooms,bathrooms,listing_tags,furnishing,tenure,district,landed_vs_high_rise,pool,fitness,balcony
3742,410000.0,1860.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Klang,landed,False,False,False
3743,880000.0,1159.0,3.0,3.0,Service Residence,Partially Furnished,Leasehold,Damansara,high-rise,True,True,True
3744,540000.0,1071.0,3.0,2.0,Service Residence,Partially Furnished,Freehold,Shah Alam,high-rise,True,True,False
3745,3062200.0,3879.0,5.0,6.0,Semi-Detached House,Unfurnished,Leasehold,Damansara,landed,False,False,True
3746,200000.0,450.0,2.0,1.0,Condominium,Fully Furnished,Freehold,Nilai,high-rise,True,True,True
3747,750000.0,5447.0,4.0,3.0,Bungalow House,Unfurnished,Leasehold,Bangi,landed,False,False,False
3748,188000.0,500.0,2.0,1.0,Condominium,Fully Furnished,Freehold,Cyberjaya,high-rise,False,False,False
3749,756840.0,1308.0,4.0,3.0,Condominium,Partially Furnished,Freehold,Petaling Jaya,high-rise,True,True,False
3750,745000.0,2433.0,4.0,3.0,2-storey Terraced House,Unfurnished,Freehold,Cyberjaya,landed,True,False,True
3751,510000.0,1000.0,3.0,2.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3752,476388.0,3286.0,4.0,4.0,Semi-Detached House,Unfurnished,Freehold,Shah Alam,landed,False,False,False
3753,190000.0,570.0,2.0,2.0,Condominium,Fully Furnished,Freehold,Petaling Jaya,high-rise,False,False,False
3754,4380000.0,10491.0,5.0,7.0,Bungalow House,Partially Furnished,Freehold,Cheras,landed,True,False,True
3755,199999.0,450.0,2.0,1.0,Condominium,Unfurnished,Freehold,Cyberjaya,high-rise,True,True,False
3756,2900000.0,5000.0,6.0,6.0,Bungalow House,Unfurnished,Leasehold,Kuala Langat,landed,False,False,False
3757,380000.0,1300.0,4.0,3.0,Condominium,Fully Furnished,Freehold,Cyberjaya,high-rise,True,True,True
3758,397888.0,2799.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Puchong,landed,False,False,False
3759,454800.0,2800.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Subang Jaya,landed,False,False,False
3760,250000.0,590.0,2.0,1.0,Service Residence,Unfurnished,Freehold,Kajang,high-rise,True,True,False
3761,425666.0,2950.0,4.0,4.0,2-storey Terraced House,Unfurnished,Freehold,Ampang,landed,False,False,False
3762,1700000.0,6000.0,5.0,5.0,Bungalow House,Unfurnished,Freehold,Sungai Buloh,landed,False,False,False
3763,250000.0,590.0,2.0,1.0,Service Residence,Unfurnished,Freehold,Kajang,high-rise,True,True,False
