id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,furnishing,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
2812,1199000.0,2 STOREY SEMI-D TYPE 2F 40x80 TENDERFIELDS ECO MAJESTIC SEMENYIH,3400.0,5.0,6.0,"Eco Majestic, Semenyih, Selangor",Semi-Detached House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/2-storey-semi-d-type-2f-40x80-tenderfields-eco-majestic-semenyih-for-sale-by-alex-yeong-34109722, Selangor,False,False,False,13.99699926803766,5.847939014524559,landed,hulu langat
2813,370000.0,"Taman Pasir Emas 2, Sg Chua Kajang",1000.0,4.0,2.0,"Kajang, Selangor",1-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/taman-pasir-emas-2-sg-chua-kajang-for-sale-by-umar-hanim-34649910, Selangor,False,False,False,12.821260987319457,5.207056994768861,landed,hulu langat
2814,387000.0,Cyberjaya Cyberjaya Cyberjaya Cyberjaya,3200.0,4.0,4.0,"Cyberjaya Double Storey Monthly 1.8k, Cyberjaya, Selangor",2-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/cyberjaya-cyberjaya-cyberjaya-cyberjaya-for-sale-by-amy-lim-36120750, Selangor,False,False,False,12.866182555987908,5.817754604448212,landed,sepang
2815,949000.0,Eco Grandeur,3000.0,4.0,3.0,"Persiaran Mokhtar Dahari, Eco Grandeur, Bandar Puncak Alam, Shah Alam, Selangor",Bungalow House,Unfurnished,Leasehold,https://www.propertyguru.com.my/property-listing/eco-grandeur-for-sale-by-allen-ang-36226079#contact-agent, Selangor,False,False,False,13.76316513133229,5.785447922298548,landed,petaling
2816,394000.0,Petaling Jaya,2790.0,4.0,4.0,"Taman Megah, Petaling Jaya, Selangor",2-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/petaling-jaya-for-sale-by-grace-tan-32918450, Selangor,False,False,False,12.884108726347916,5.748905468720932,landed,petaling
2817,1750000.0,LakeHomes SemiD (READY TO MOVE IN),4800.0,7.0,6.0,"Subang Jaya, Selangor",Semi-Detached House,Unfurnished,Leasehold,https://www.propertyguru.com.my/property-listing/lakehomes-semid-ready-to-move-in-for-sale-by-lim-jee-hone-35114354, Selangor,True,True,False,14.375126917328105,6.016667390017178,landed,petaling
2818,460000.0,OPAL RESIDENCE KAJANG @ PRIMA SAUJANA @ 4 rooms,1300.0,4.0,2.0,"Kajang, Selangor",Condominium,Fully Furnished,Freehold,https://www.propertyguru.com.my/property-listing/opal-residence-kajang-prima-saujana-4-rooms-for-sale-by-ken-chong-33383425#contact-agent, Selangor,True,True,True,13.038983942375959,5.35019692781016,high-rise,hulu langat
2819,407000.0,"Semenyih [ Reject Unit ] New 2-Storey 30x80 Luxury House, Freehold HOC",2800.0,4.0,4.0,"Setia Ecohill 2, Semenyih, Selangor",2-storey Terraced House,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/semenyih-reject-unit-new-2-storey-30x80-luxury-house-freehold-hoc-for-sale-by-amy-lim-34538335#contact-agent, Selangor,False,False,False,12.91657092142417,5.750712410012343,landed,hulu langat
2820,650000.0,"Cheras Idaman 2, Bandar Sungai Long",1600.0,4.0,3.0,"Jalan Idaman, Bandar Sungai Long, Kajang, Selangor",2-storey Terraced House,Partially Furnished,Leasehold,https://www.propertyguru.com.my/property-listing/cheras-idaman-2-bandar-sungai-long-for-sale-by-shanny-tan-35133465#contact-agent, Selangor,False,False,True,13.384729180332174,5.461210671157304,landed,hulu langat
2821,638000.0,Panorama Residences,749.0,2.0,1.0,"SS7/15 Petaling Jaya, Kelana Jaya, Petaling Jaya, Selangor",Condominium,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/panorama-residences-for-sale-by-james-law-35430653#contact-agent, Selangor,True,True,True,13.366095129723817,5.045588719941093,high-rise,petaling
2822,300000.0,Apartment Embun Resident For Sale Saujana Impian Kajang,1185.0,3.0,2.0,"Saujana Impian Kajang, Kajang, Selangor",Apartment,Partially Furnished,Freehold,https://www.propertyguru.com.my/property-listing/apartment-embun-resident-for-sale-saujana-impian-kajang-for-sale-by-zaim-kamaruddin-34412918#contact-agent, Selangor,False,False,False,12.611541086966115,5.300033539313971,high-rise,hulu langat
2823,530000.0,Kota Warisan,2230.0,4.0,4.0,"Cyberjaya, Selangor",2-storey Terraced House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/kota-warisan-for-sale-by-jun-kc-yee-36291162#contact-agent, Selangor,False,False,False,13.180634172318978,5.634640661877724,landed,sepang
2825,2000000.0,Freehold SemiD Damansara Area Extra RM100k offer,4650.0,6.0,7.0,"Kota Damansara, Damansara, Selangor",Semi-Detached House,Unfurnished,Freehold,https://www.propertyguru.com.my/property-listing/freehold-semid-damansara-area-extra-rm100k-offer-for-sale-by-vicki-ang-35449385#contact-agent, Selangor,False,False,True,14.508658238524095,6.00134143778061,landed,petaling
