id,price,listing_title,sqft,bedrooms,bathrooms,address,listing_tags,tenure,url,state,pool,fitness,balcony,log_price,sqft_boxcox,landed_high_rise,district_enc
1302,358000.0,sepang sepang sepang! !,2887.0,4.0,4.0,"Cyberjaya, Sepang, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/sepang-sepang-sepang-for-sale-by-grace-tan-34492404, Selangor,True,False,False,12.788291058675025,6.466276964766674,landed,sepang
1303,750000.0,Fully & Reno Setia Alam Sari,1945.0,4.0,3.0,"Bangi, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/fully-reno-setia-alam-sari-for-sale-by-mohd-faez-ahmad-35971120, Selangor,False,False,False,13.527829818844937,6.207425953313684,landed,hulu langat
1304,1050000.0,The Mulia Residences,2386.0,6.0,4.0,"Persiaran Sepang, ( Future: Persiaran Inovasi), Cyber 10, Cyberjaya, Sepang, Selangor",3-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/the-mulia-residences-for-sale-by-bilya-ariff-36189625#contact-agent, Selangor,True,False,False,13.864301674514206,6.342053471916141,landed,sepang
1305,197000.0,"RM197K [ Rental up to Rm3000 ] beside Shopping Mall, First Choice of Invester, Subang",612.0,2.0,2.0,"Bukit Jalil, Cheras , Seri Kembangan, KL city, Subang, Selangor",Condominium,Freehold,https://www.propertyguru.com.my/property-listing/rm197k-rental-up-to-rm3000-beside-shopping-mall-first-choice-of-invester-subang-for-sale-by-wilson-chang-35514635, Selangor,False,False,False,12.190964083849375,5.416845142697826,high-rise,petaling
1306,150000.0,Apartment Idaman,650.0,3.0,2.0,"- Jalan PJU 10/1, Petaling Jaya, Selangor",Apartment,Freehold,https://www.propertyguru.com.my/property-listing/apartment-idaman-for-sale-by-ahmad-farhi-36368685#contact-agent, Selangor,False,False,False,11.918397239722838,5.4592716833065715,high-rise,petaling
1307,780000.0,"Kota Kemuning, Bukit Rimau 22x75 With Land",2300.0,4.0,3.0,"Jalan Anggerik Vanilla 31/93, Kota Kemuning, Shah Alam, Selangor",2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/kota-kemuning-bukit-rimau-22x75-with-land-for-sale-by-cookie-cheah-35645690#contact-agent, Selangor,False,False,False,13.567050480716235,6.317979990002669,landed,petaling
1308,920000.0,Sunstone Villa,3040.0,6.0,4.0,"Jalan Bentara 9/5, Bandar Mahkota Cheras, Cheras, Selangor",3-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/sunstone-villa-for-sale-by-hei-kar-jun-34710713, Selangor,False,False,False,13.732130035981154,6.4997120665742365,landed,hulu langat
1310,499000.0,Emerald Residence @ Mahkota Cheras,1161.0,3.0,2.0,"Jalan Permaisuri, Bandar Mahkota Cheras, Cheras, Selangor",Condominium,Freehold,https://www.propertyguru.com.my/property-listing/emerald-residence-mahkota-cheras-for-sale-by-shanny-tan-35235869, Selangor,True,True,True,13.120363378739663,5.860771715191118,high-rise,hulu langat
1311,1900000.0,Sri Istana Hills,5356.0,6.0,5.0,"Jln Jumaat 15, Klang, Selangor",Zero-Lot Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/sri-istana-hills-for-sale-by-kb-tee-33100189, Selangor,True,False,False,14.45736497045232,6.860317179518675,landed,klang
1312,330000.0,Brunsfield Riverview Partial Furnished For Sale,1076.0,3.0,2.0,"Shah Alam, Selangor",Condominium,Leasehold,https://www.propertyguru.com.my/property-listing/brunsfield-riverview-partial-furnished-for-sale-for-sale-by-merlissa-wong-36268722, Selangor,False,False,False,12.706850963741102,5.80886399014025,high-rise,petaling
